rank,channel_info,influence_score,posts,followers,avg_likes,new_post_avg_like,total_likes,country,eng_rate
72,anushkasharma,85,1200,59500000,1900000,1400000,2200000000,Not Listed,0.023399999999999997
73,whinderssonnunes,79,2700,58700000,1600000,323100,4400000000,Brazil,0.0058
74,9gag,86,10000,58100000,672600,248600,6700000000,United States,0.0044
75,marcelotwelve,86,2700,58100000,690900,448300,1900000000,Brazil,0.0078000000000000005
76,milliebobbybrown,80,280,57600000,4000000,5000000,1100000000,United States,0.0863
77,karimbenzema,42,2000,56900000,878500,918900,1800000000,Spain,0.016200000000000003
78,chrishemsworth,86,880,55900000,2800000,2100000,2500000000,Australia,0.0369
79,karolg,83,3300,55600000,3100000,5700000,10100000000,India,0.1025
80,paulpogba,80,1300,55200000,1400000,462600,1800000000,France,0.0085
81,iamzlatanibrahimovic,86,870,55100000,1500000,837100,1300000000,Not Listed,0.015300000000000001
82,leonardodicaprio,86,1700,54600000,395500,107600,669300000,Not Listed,0.002
83,juventus,87,10000,54500000,194800,135500,1900000000,Not Listed,0.0025
84,zacefron,86,660,54500000,2300000,4400000,1500000000,United States,0.0818
85,bellahadid,79,3200,54100000,1100000,1100000,3600000000,United Kingdom,0.0206
86,tatawerneck,86,5600,53900000,959800,266500,5400000000,Brazil,0.0051
87,beingsalmankhan,76,1200,53500000,1400000,693900,1600000000,India,0.013300000000000001
88,robertdowneyjr,86,420,53400000,3000000,1100000,1300000000,United States,0.020499999999999997
89,sunnyleone,84,4600,53400000,764000,301300,3500000000,Not Listed,0.005699999999999999
90,ladygaga,83,3600,53200000,1400000,531600,5100000000,United States,0.0102
91,dishapatani,74,2100,53000000,1600000,971700,3400000000,United States,0.018500000000000003
92,sergioramos,87,2200,52800000,1100000,557900,2500000000,Not Listed,0.0106
93,jbalvin,87,10000,52800000,878000,340500,8800000000,Not Listed,0.0066
94,mosalah,22,840,52500000,1800000,1100000,1500000000,Not Listed,0.0218
95,ayutingting92,85,10000,52400000,147300,56300,1500000000,Indonesia,0.0011
96,433,79,10300,51200000,863200,774200,8900000000,Netherlands,0.0152
97,hudabeauty,82,2400,50800000,186400,16800,453600000,United States,4e-4
98,adele,84,420,50700000,4700000,1900000,2000000000,United States,0.0382
99,michelleobama,85,600,50700000,700500,611200,421700000,Not Listed,0.012199999999999999
100,kritisanon,76,2700,50200000,897200,604400,2400000000,India,0.0121
101,jamesrodriguez10,86,1100,49900000,1400000,363900,1500000000,Colombia,0.0075
102,krisjenner,80,6400,49700000,356800,452900,2300000000,United States,0.0091
103,thv,83,60,49300000,15400000,12600000,987400000,Not Listed,0.258
104,lelepons,81,2500,49200000,2400000,1700000,6100000000,United States,0.0355
105,charlidamelio,80,150,49100000,4200000,1600000,654400000,Not Listed,0.032799999999999996
106,gucci,86,8900,49000000,115100,72400,1000000000,Italy,0.0015
107,prillylatuconsina96,84,6500,48900000,372400,131800,2400000000,Indonesia,0.0027
108,louisvuitton,82,6500,48700000,127500,40500,824000000,France,8e-4
109,paulodybala,85,1300,48300000,1800000,1400000,2300000000,Not Listed,0.0288
110,blackpinkofficial,85,1400,48200000,2100000,1300000,3000000000,Not Listed,0.0277
111,dovecameron,85,170,48200000,1600000,841400,283000000,United States,0.0175
112,garethbale11,86,980,48100000,763000,681300,753100000,Not Listed,0.0143
113,jokowi,85,3500,47700000,452600,189600,1600000000,Not Listed,0.0040999999999999995
114,nusr_et,81,2300,47300000,728200,133000,1700000000,United Arab Emirates,0.0029
115,harrystyles,57,590,46900000,4700000,2900000,2800000000,United States,0.0638
116,haileybieber,85,2100,46900000,2000000,1600000,4200000000,Not Listed,0.0347
117,vanessahudgens,84,4200,46800000,633900,292900,2700000000,United States,0.0063
